Video Name,Label,Confidence,Store,Date
Shoplifting016_x264_16.mp4,backpack,0.1,,
Shoplifting016_x264_16.mp4,suitcase,0.18,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,chair,0.69,,
Shoplifting016_x264_16.mp4,chair,0.12,,
Shoplifting016_x264_16.mp4,backpack,0.12,,
Shoplifting016_x264_16.mp4,chair,0.18,,
Shoplifting016_x264_16.mp4,chair,0.71,,
Shoplifting016_x264_16.mp4,backpack,0.12,,
Shoplifting016_x264_16.mp4,chair,0.14,,
Shoplifting016_x264_16.mp4,chair,0.19,,
Shoplifting016_x264_16.mp4,chair,0.72,,
Shoplifting016_x264_16.mp4,suitcase,0.1,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,chair,0.72,,
Shoplifting016_x264_16.mp4,person,0.14,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,chair,0.73,,
Shoplifting016_x264_16.mp4,person,0.13,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,chair,0.73,,
Shoplifting016_x264_16.mp4,person,0.16,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,chair,0.71,,
Shoplifting016_x264_16.mp4,person,0.16,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,chair,0.71,,
Shoplifting016_x264_16.mp4,chair,0.12,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,person,0.56,,
Shoplifting016_x264_16.mp4,chair,0.7,,
Shoplifting016_x264_16.mp4,handbag,0.15,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,person,0.52,,
Shoplifting016_x264_16.mp4,chair,0.69,,
Shoplifting016_x264_16.mp4,handbag,0.14,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,person,0.52,,
Shoplifting016_x264_16.mp4,chair,0.69,,
Shoplifting016_x264_16.mp4,chair,0.11,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,person,0.45,,
Shoplifting016_x264_16.mp4,chair,0.69,,
Shoplifting016_x264_16.mp4,chair,0.12,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,person,0.44,,
Shoplifting016_x264_16.mp4,chair,0.68,,
Shoplifting016_x264_16.mp4,remote,0.1,,
Shoplifting016_x264_16.mp4,chair,0.2,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,person,0.39,,
Shoplifting016_x264_16.mp4,chair,0.68,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,person,0.37,,
Shoplifting016_x264_16.mp4,chair,0.65,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,person,0.41,,
Shoplifting016_x264_16.mp4,chair,0.64,,
Shoplifting016_x264_16.mp4,handbag,0.18,,
Shoplifting016_x264_16.mp4,person,0.21,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,chair,0.67,,
Shoplifting016_x264_16.mp4,handbag,0.19,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,person,0.29,,
Shoplifting016_x264_16.mp4,chair,0.65,,
Shoplifting016_x264_16.mp4,handbag,0.13,,
Shoplifting016_x264_16.mp4,chair,0.24,,
Shoplifting016_x264_16.mp4,person,0.32,,
Shoplifting016_x264_16.mp4,chair,0.66,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,handbag,0.27,,
Shoplifting016_x264_16.mp4,person,0.4,,
Shoplifting016_x264_16.mp4,chair,0.6,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,handbag,0.27,,
Shoplifting016_x264_16.mp4,person,0.39,,
Shoplifting016_x264_16.mp4,chair,0.61,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,handbag,0.26,,
Shoplifting016_x264_16.mp4,person,0.38,,
Shoplifting016_x264_16.mp4,chair,0.61,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,handbag,0.27,,
Shoplifting016_x264_16.mp4,person,0.41,,
Shoplifting016_x264_16.mp4,chair,0.62,,
Shoplifting016_x264_16.mp4,chair,0.24,,
Shoplifting016_x264_16.mp4,person,0.44,,
Shoplifting016_x264_16.mp4,chair,0.63,,
Shoplifting016_x264_16.mp4,backpack,0.23,,
Shoplifting016_x264_16.mp4,chair,0.24,,
Shoplifting016_x264_16.mp4,chair,0.62,,
Shoplifting016_x264_16.mp4,backpack,0.2,,
Shoplifting016_x264_16.mp4,chair,0.24,,
Shoplifting016_x264_16.mp4,chair,0.62,,
Shoplifting016_x264_16.mp4,backpack,0.17,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,chair,0.64,,
Shoplifting016_x264_16.mp4,backpack,0.13,,
Shoplifting016_x264_16.mp4,person,0.17,,
Shoplifting016_x264_16.mp4,chair,0.22,,
Shoplifting016_x264_16.mp4,chair,0.64,,
Shoplifting016_x264_16.mp4,chair,0.21,,
Shoplifting016_x264_16.mp4,backpack,0.25,,
Shoplifting016_x264_16.mp4,chair,0.62,,
Shoplifting016_x264_16.mp4,chair,0.23,,
Shoplifting016_x264_16.mp4,person,0.46,,
Shoplifting016_x264_16.mp4,chair,0.65,,
Shoplifting032_x264_8.mp4,person,0.1,,
Shoplifting032_x264_8.mp4,person,0.11,,
Shoplifting032_x264_8.mp4,bicycle,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.13,,
Shoplifting032_x264_8.mp4,person,0.13,,
Shoplifting032_x264_8.mp4,person,0.14,,
Shoplifting032_x264_8.mp4,suitcase,0.14,,
Shoplifting032_x264_8.mp4,backpack,0.14,,
Shoplifting032_x264_8.mp4,person,0.17,,
Shoplifting032_x264_8.mp4,person,0.17,,
Shoplifting032_x264_8.mp4,person,0.2,,
Shoplifting032_x264_8.mp4,suitcase,0.43,,
Shoplifting032_x264_8.mp4,person,0.46,,
Shoplifting032_x264_8.mp4,person,0.66,,
Shoplifting032_x264_8.mp4,backpack,0.1,,
Shoplifting032_x264_8.mp4,bicycle,0.11,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,person,0.13,,
Shoplifting032_x264_8.mp4,person,0.16,,
Shoplifting032_x264_8.mp4,motorcycle,0.19,,
Shoplifting032_x264_8.mp4,motorcycle,0.25,,
Shoplifting032_x264_8.mp4,person,0.37,,
Shoplifting032_x264_8.mp4,suitcase,0.39,,
Shoplifting032_x264_8.mp4,person,0.66,,
Shoplifting032_x264_8.mp4,person,0.1,,
Shoplifting032_x264_8.mp4,motorcycle,0.11,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,backpack,0.12,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,person,0.13,,
Shoplifting032_x264_8.mp4,tv,0.13,,
Shoplifting032_x264_8.mp4,person,0.13,,
Shoplifting032_x264_8.mp4,motorcycle,0.14,,
Shoplifting032_x264_8.mp4,motorcycle,0.23,,
Shoplifting032_x264_8.mp4,suitcase,0.37,,
Shoplifting032_x264_8.mp4,person,0.39,,
Shoplifting032_x264_8.mp4,person,0.67,,
Shoplifting032_x264_8.mp4,motorcycle,0.11,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,bicycle,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,person,0.14,,
Shoplifting032_x264_8.mp4,backpack,0.15,,
Shoplifting032_x264_8.mp4,person,0.15,,
Shoplifting032_x264_8.mp4,person,0.17,,
Shoplifting032_x264_8.mp4,person,0.18,,
Shoplifting032_x264_8.mp4,motorcycle,0.18,,
Shoplifting032_x264_8.mp4,motorcycle,0.25,,
Shoplifting032_x264_8.mp4,suitcase,0.39,,
Shoplifting032_x264_8.mp4,person,0.41,,
Shoplifting032_x264_8.mp4,person,0.68,,
Shoplifting032_x264_8.mp4,bicycle,0.1,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.14,,
Shoplifting032_x264_8.mp4,motorcycle,0.14,,
Shoplifting032_x264_8.mp4,backpack,0.14,,
Shoplifting032_x264_8.mp4,person,0.14,,
Shoplifting032_x264_8.mp4,person,0.16,,
Shoplifting032_x264_8.mp4,person,0.17,,
Shoplifting032_x264_8.mp4,motorcycle,0.2,,
Shoplifting032_x264_8.mp4,person,0.27,,
Shoplifting032_x264_8.mp4,motorcycle,0.37,,
Shoplifting032_x264_8.mp4,suitcase,0.39,,
Shoplifting032_x264_8.mp4,person,0.68,,
Shoplifting032_x264_8.mp4,person,0.1,,
Shoplifting032_x264_8.mp4,person,0.11,,
Shoplifting032_x264_8.mp4,motorcycle,0.11,,
Shoplifting032_x264_8.mp4,motorcycle,0.11,,
Shoplifting032_x264_8.mp4,person,0.11,,
Shoplifting032_x264_8.mp4,chair,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,motorcycle,0.13,,
Shoplifting032_x264_8.mp4,backpack,0.15,,
Shoplifting032_x264_8.mp4,person,0.17,,
Shoplifting032_x264_8.mp4,person,0.21,,
Shoplifting032_x264_8.mp4,motorcycle,0.21,,
Shoplifting032_x264_8.mp4,person,0.28,,
Shoplifting032_x264_8.mp4,motorcycle,0.37,,
Shoplifting032_x264_8.mp4,suitcase,0.4,,
Shoplifting032_x264_8.mp4,person,0.68,,
Shoplifting032_x264_8.mp4,motorcycle,0.12,,
Shoplifting032_x264_8.mp4,person,0.12,,
Shoplifting032_x264_8.mp4,person,0.14,,
Shoplifting032_x264_8.mp4,person,0.14,,
Shoplifting032_x264_8.mp4,backpack,0.16,,
Shoplifting032_x264_8.mp4,chair,0.17,,
Shoplifting032_x264_8.mp4,person,0.18,,
Shoplifting032_x264_8.mp4,motorcycle,0.2,,
Shoplifting032_x264_8.mp4,motorcycle,0.22,,
Shoplifting032_x264_8.mp4,person,0.27,,
Shoplifting032_x264_8.mp4,person,0.28,,
Shoplifting032_x264_8.mp4,motorcycle,0.35,,
Shoplifting032_x264_8.mp4,suitcase,0.41,,
